Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,432.588074,436.787964,407.388763,432.588074,286.226898,76180670
2005-09-30,457.787384,457.787384,432.588074,457.787384,302.900269,105493978
2005-10-03,470.387024,474.586914,440.987854,470.387024,311.236969,59712955
2005-10-04,474.586914,482.986694,466.187164,474.586914,314.015839,56236668
2005-10-05,482.986694,482.986694,466.187164,482.986694,319.573669,31319315
2005-10-06,466.187164,482.986694,461.987274,466.187164,308.458069,8107366
2005-10-07,470.387024,470.387024,457.787384,470.387024,311.236969,6577562
2005-10-10,466.187164,470.387024,457.787384,466.187164,308.458069,23223854
2005-10-11,466.187164,466.187164,461.987274,466.187164,308.458069,13497395
2005-10-12,470.387024,474.586914,466.187164,470.387024,311.236969,29804392
2005-10-13,474.586914,474.586914,470.387024,474.586914,314.015839,12738446
2005-10-14,474.586914,474.586914,470.387024,474.586914,314.015839,12018188
2005-10-17,474.586914,474.586914,474.586914,474.586914,314.015839,0
2005-10-18,470.387024,474.586914,470.387024,470.387024,311.236969,12110452
2005-10-19,461.987274,470.387024,461.987274,461.987274,305.679169,5631107
2005-10-20,461.987274,461.987274,461.987274,461.987274,305.679169,0
2005-10-21,461.987274,461.987274,461.987274,461.987274,305.679169,3038774
2005-10-24,449.387604,461.987274,445.187744,449.387604,297.342468,10875299
2005-10-25,449.387604,449.387604,449.387604,449.387604,297.342468,0
2005-10-26,453.587494,457.787384,449.387604,453.587494,300.121307,14298013
2005-10-27,440.987854,457.787384,440.987854,440.987854,291.784607,16018298
2005-10-28,428.388184,436.787964,428.388184,428.388184,283.447937,15390305
2005-10-31,432.588074,432.588074,424.188324,432.588074,286.226898,25104858
2005-11-01,428.388184,432.588074,428.388184,428.388184,283.447937,35012869
2005-11-07,428.388184,428.388184,428.388184,428.388184,283.447937,0
2005-11-08,428.388184,428.388184,428.388184,428.388184,283.447937,0
2005-11-09,428.388184,428.388184,428.388184,428.388184,283.447937,0
2005-11-10,419.988434,432.588074,419.988434,419.988434,277.890167,25747733
2005-11-11,411.588654,424.188324,411.588654,411.588654,272.332306,12366412
2005-11-14,411.588654,415.788544,407.388763,411.588654,272.332306,7637115
2005-11-15,403.188873,415.788544,403.188873,403.188873,266.774536,33515804
2005-11-16,407.388763,407.388763,398.989014,407.388763,269.553406,22512525
2005-11-17,403.188873,407.388763,398.989014,403.188873,266.774536,9684790
2005-11-18,407.388763,411.588654,407.388763,407.388763,269.553406,41161848
2005-11-21,419.988434,419.988434,411.588654,419.988434,277.890167,80606388
2005-11-22,436.787964,436.787964,419.988434,436.787964,289.005768,94172238
2005-11-23,436.787964,440.987854,432.588074,436.787964,289.005768,68745942
2005-11-24,436.787964,440.987854,432.588074,436.787964,289.005768,13425965
2005-11-25,428.388184,440.987854,428.388184,428.388184,283.447937,19682090
2005-11-28,432.588074,432.588074,428.388184,432.588074,286.226898,3297709
2005-11-29,457.787384,457.787384,432.588074,457.787384,302.900269,105038609
2005-11-30,478.786804,478.786804,453.587494,478.786804,316.794769,67989968
2005-12-01,487.186584,495.586334,478.786804,487.186584,322.352570,83731474
2005-12-02,491.386444,495.586334,482.986694,491.386444,325.131439,42402954
2005-12-05,487.186584,491.386444,482.986694,487.186584,322.352570,22283352
2005-12-06,491.386444,503.986115,487.186584,491.386444,325.131439,61745749
2005-12-07,482.986694,495.586334,482.986694,482.986694,319.573669,23655413
2005-12-08,482.986694,495.586334,482.986694,482.986694,319.573669,24497698
2005-12-09,524.985535,529.185425,487.186584,524.985535,347.362671,114910904
2005-12-12,608.983215,642.582275,533.385315,608.983215,402.940735,157772205
2005-12-13,608.983215,629.982666,592.183655,608.983215,402.940735,117589550
2005-12-14,566.984375,608.983215,566.984375,566.984375,375.151703,106342216
2005-12-15,545.984924,566.984375,541.785095,545.984924,361.257141,60043321
2005-12-16,537.585205,562.784485,537.585205,537.585205,355.699402,42575578
2005-12-19,571.184265,571.184265,545.984924,571.184265,377.930634,41027916
2005-12-20,571.184265,592.183655,566.984375,571.184265,377.930634,55814038
2005-12-21,554.384705,566.984375,545.984924,554.384705,366.814941,52132389
2005-12-22,554.384705,558.584595,550.184814,550.184814,364.036072,6074572
2005-12-23,562.784485,571.184265,558.584595,562.784485,372.372803,27188249
2005-12-26,562.784485,562.784485,562.784485,562.784485,372.372803,0
2005-12-27,579.584045,583.783936,571.184265,579.584045,383.488403,13196792
2005-12-28,587.983765,600.583435,587.983765,596.383545,394.604004,42399978
2005-12-29,604.783325,617.382996,600.583435,600.583435,397.382904,46965580
2005-12-30,600.583435,600.583435,600.583435,600.583435,397.382904,0
2006-01-02,604.783325,608.983215,600.583435,604.783325,400.161804,6229338
2006-01-03,608.983215,608.983215,587.983765,592.183655,391.825104,33712238
2006-01-04,608.983215,621.582886,604.783325,621.582886,411.277435,57733733
2006-01-05,625.782776,655.181946,625.782776,650.982056,430.729767,78502163
2006-01-06,646.782166,667.781616,642.582275,667.781616,441.845367,60879653
2006-01-09,671.981506,722.380066,671.981506,713.980347,472.413208,70356105
2006-01-10,713.980347,713.980347,713.980347,713.980347,472.413208,0
2006-01-11,713.980347,722.380066,692.980896,701.380676,464.076447,50685920
2006-01-12,709.780457,768.578796,709.780457,760.179077,502.981171,88547083
2006-01-13,755.979187,806.377747,747.579407,764.378906,505.759979,59326039
2006-01-16,806.377747,823.177307,760.179077,785.378357,519.654663,34792625
2006-01-17,797.978027,802.177917,755.979187,760.179077,502.981171,35358117
2006-01-18,747.579407,760.179077,713.980347,713.980347,472.413208,59832006
2006-01-19,730.779846,751.779297,726.579956,751.779297,497.423309,31795519
2006-01-20,764.378906,781.178467,755.979187,760.179077,502.981171,34006889
2006-01-23,730.779846,760.179077,730.779846,739.179626,489.086731,17065946
2006-01-24,747.579407,755.979187,739.179626,743.379517,491.865601,10300879
2006-01-25,743.379517,755.979187,730.779846,743.379517,491.865601,34605120
2006-01-26,747.579407,751.779297,726.579956,739.179626,489.086731,18119546
2006-01-27,739.179626,743.379517,701.380676,705.580566,466.855469,44882189
2006-01-30,718.180176,718.180176,705.580566,718.180176,475.192139,19899357
2006-01-31,718.180176,718.180176,718.180176,718.180176,475.192139,0
2006-02-01,722.380066,734.979736,722.380066,730.779846,483.528870,54218756
2006-02-02,734.979736,764.378906,734.979736,764.378906,505.759979,60201063
2006-02-03,764.378906,768.578796,751.779297,764.378906,505.759979,30521674
2006-02-06,760.179077,764.378906,747.579407,751.779297,497.423309,12137239
2006-02-07,751.779297,776.978577,751.779297,768.578796,508.539001,41507096
2006-02-08,760.179077,760.179077,722.380066,726.579956,480.750000,79674814
2006-02-09,734.979736,743.379517,730.779846,739.179626,489.086731,27735883
2006-02-10,743.379517,747.579407,739.179626,743.379517,491.865601,19976741
2006-02-13,734.979736,734.979736,722.380066,726.579956,480.750000,23932207
2006-02-14,713.980347,722.380066,705.580566,709.780457,469.634369,33724143
2006-02-15,713.980347,722.380066,709.780457,718.180176,475.192139,16384380
2006-02-16,718.180176,718.180176,692.980896,697.180786,461.297638,15262325
2006-02-17,701.380676,709.780457,646.782166,650.982056,430.729767,90053077
2006-02-20,655.181946,663.581726,642.582275,642.582275,425.171936,47653098
2006-02-21,646.782166,655.181946,629.982666,642.582275,425.171936,44376222
2006-02-22,646.782166,663.581726,642.582275,655.181946,433.508545,59236751
2006-02-23,659.381836,680.381226,659.381836,671.981506,444.624237,61260616
2006-02-24,671.981506,676.181335,659.381836,671.981506,444.624237,18655276
2006-02-27,671.981506,684.581116,671.981506,684.581116,452.960968,29997850
2006-02-28,688.781006,688.781006,671.981506,676.181335,447.403198,39382037
2006-03-01,676.181335,684.581116,671.981506,680.381226,450.182068,22235731
2006-03-02,688.781006,722.380066,688.781006,722.380066,477.971069,125113567
2006-03-03,726.579956,743.379517,722.380066,739.179626,489.086731,79636123
2006-03-06,680.381226,684.581116,671.981506,680.381226,450.182068,22235731
2006-03-07,734.979736,734.979736,709.780457,713.980347,472.413208,48159065
2006-03-08,713.980347,713.980347,692.980896,701.380676,464.076447,53430043
2006-03-09,692.980896,713.980347,688.781006,713.980347,472.413208,27128723
2006-03-10,713.980347,726.579956,709.780457,722.380066,477.971069,34170584
2006-03-13,722.380066,722.380066,709.780457,722.380066,477.971069,5217405
2006-03-14,722.380066,722.380066,709.780457,713.980347,472.413208,8940722
2006-03-15,713.980347,726.579956,709.780457,713.980347,472.413208,17339763
2006-03-16,730.779846,730.779846,718.180176,730.779846,483.528870,21063080
2006-03-17,730.779846,734.979736,718.180176,722.380066,477.971069,35658720
2006-03-20,726.579956,730.779846,722.380066,726.579956,480.750000,22521454
2006-03-21,726.579956,726.579956,718.180176,722.380066,477.971069,21768457
2006-03-22,730.779846,739.179626,718.180176,730.779846,483.528870,62683275
2006-03-23,730.779846,739.179626,726.579956,726.579956,480.750000,29798440
2006-03-24,726.579956,730.779846,722.380066,726.579956,480.750000,3940584
2006-03-27,734.979736,734.979736,730.779846,734.979736,486.307770,11771157
2006-03-28,734.979736,739.179626,730.779846,734.979736,486.307770,13039049
2006-03-29,730.779846,730.779846,722.380066,730.779846,483.528870,4309642
2006-03-30,730.779846,730.779846,730.779846,730.779846,483.528870,0
2006-03-31,730.779846,730.779846,730.779846,730.779846,483.528870,0
2006-04-03,739.179626,743.379517,734.979736,739.179626,489.086731,36242070
2006-04-04,755.979187,768.578796,743.379517,755.979187,500.202271,82192741
2006-04-05,789.578247,789.578247,760.179077,789.578247,522.433472,84171962
2006-04-06,802.177917,823.177307,793.778137,802.177917,530.770142,78585499
2006-04-07,806.377747,818.977417,797.978027,806.377747,533.549072,41879130
2006-04-10,806.377747,806.377747,806.377747,806.377747,533.549072,0
2006-04-11,823.177307,831.577087,810.577637,823.177307,544.664612,37021853
2006-04-12,839.976868,844.176758,818.977417,839.976868,555.780334,62082068
2006-04-13,831.577087,848.376648,823.177307,831.577087,550.222473,10324689
2006-04-14,831.577087,831.577087,831.577087,831.577087,550.222473,0
2006-04-17,835.776978,852.576477,835.776978,835.776978,553.001526,14402182
2006-04-18,915.574768,915.574768,844.176758,915.574768,605.800537,81659988
2006-04-19,957.573608,965.973389,923.974548,957.573608,633.589539,77380108
2006-04-20,974.373169,1024.771729,974.373169,974.373169,644.705139,63067214
2006-04-21,957.573608,965.973389,923.974548,957.573608,633.589539,53456830
2006-04-24,957.573608,1024.771729,957.573608,974.373169,644.705139,46685810
2006-04-25,982.772888,982.772888,957.573608,982.772888,650.262878,17554055
2006-04-26,1007.972229,1033.171509,991.172668,1007.972229,666.936401,31628847
2006-04-27,1016.372009,1058.370850,991.172668,1016.372009,672.494141,27911483
2006-04-28,1016.372009,999.572449,957.573608,965.973389,639.147339,45039931
2006-05-01,991.172668,999.572449,974.373169,991.172668,655.820740,26235842
2006-05-02,991.172668,999.572449,949.173828,957.573608,633.589539,29173423
2006-05-03,974.373169,991.172668,949.173828,974.373169,644.705139,30277620
2006-05-04,957.573608,991.172668,932.374329,957.573608,633.589539,47432854
2006-05-05,957.573608,957.573608,957.573608,957.573608,633.589539,0
2006-05-08,932.374329,957.573608,932.374329,932.374329,616.916138,15208752
2006-05-09,907.174988,940.774048,907.174988,907.174988,600.242615,48117397
2006-05-10,932.374329,949.173828,915.574768,932.374329,616.916138,70951360
2006-05-11,949.173828,965.973389,932.374329,949.173828,628.031677,61275498
2006-05-12,940.774048,965.973389,940.774048,940.774048,622.473938,24182214
2006-05-15,839.976868,932.374329,823.177307,839.976868,555.780334,41986276
2006-05-16,839.976868,865.176147,739.179626,839.976868,555.780334,85401163
2006-05-17,881.975708,898.775208,865.176147,881.975708,583.569214,45670901
2006-05-18,881.975708,881.975708,881.975708,881.975708,583.569214,0
2006-05-19,881.975708,881.975708,881.975708,881.975708,583.569214,0
2006-05-22,667.781616,806.377747,667.781616,667.781616,441.845367,61668366
2006-05-23,671.981506,688.781006,642.582275,671.981506,444.624237,61754678
2006-05-24,684.581116,713.980347,680.381226,684.581116,452.960968,56730730
2006-05-25,684.581116,684.581116,684.581116,684.581116,452.960968,0
2006-05-26,684.581116,684.581116,684.581116,684.581116,452.960968,0
2006-05-29,684.581116,684.581116,684.581116,684.581116,452.960968,0
2006-05-30,768.578796,776.978577,747.579407,768.578796,508.539001,68525698
2006-05-31,747.579407,760.179077,734.979736,747.579407,494.644440,28435307
2006-06-01,709.780457,768.578796,701.380676,709.780457,469.634369,34968225
2006-06-02,713.980347,718.180176,688.781006,713.980347,472.413208,31432413
2006-06-05,722.380066,734.979736,718.180176,722.380066,477.971069,11351503
2006-06-06,697.180786,705.580566,692.980896,697.180786,461.297638,24396505
2006-06-07,655.181946,688.781006,650.982056,655.181946,433.508545,49096591
2006-06-08,625.782776,642.582275,613.183105,625.782776,414.056335,55680105
2006-06-09,642.582275,646.782166,617.382996,642.582275,425.171936,46289966
2006-06-12,642.582275,655.181946,629.982666,642.582275,425.171936,47920963
2006-06-13,613.183105,642.582275,608.983215,613.183105,405.719574,53912200
2006-06-14,617.382996,617.382996,592.183655,617.382996,408.498474,62153498
2006-06-15,642.582275,642.582275,625.782776,642.582275,425.171936,76930691
2006-06-16,697.180786,701.380676,663.581726,697.180786,461.297638,75522914
2006-06-19,705.580566,709.780457,684.581116,705.580566,466.855469,25164383
2006-06-20,701.380676,705.580566,688.781006,701.380676,464.076447,54569956
2006-06-21,684.581116,701.380676,680.381226,684.581116,469.847321,30551437
2006-06-22,692.980896,705.580566,688.781006,692.980896,475.612366,47194753
2006-06-23,688.781006,692.980896,684.581116,688.781006,472.729797,12616419
2006-06-26,697.180786,697.180786,676.181335,697.180786,478.494781,9699672
2006-06-27,734.979736,734.979736,705.580566,734.979736,504.437317,88297076
2006-06-28,760.179077,764.378906,713.980347,760.179077,521.732300,80100421
2006-06-29,760.179077,768.578796,751.779297,764.378906,524.614685,52510375
2006-06-30,776.978577,797.978027,772.778687,776.978577,533.262268,43688704
2006-07-03,789.578247,793.778137,781.178467,789.578247,541.909790,21774409
2006-07-04,835.776978,839.976868,793.778137,835.776978,573.617371,57995645
2006-07-05,831.577087,852.576477,827.377197,831.577087,570.734741,44394080
2006-07-06,755.979187,818.977417,755.979187,755.979187,518.849792,150676771
2006-07-07,747.579407,768.578796,739.179626,747.579407,513.084778,21592856
2006-07-10,776.978577,776.978577,726.579956,776.978577,533.262268,54632458
2006-07-11,785.378357,793.778137,772.778687,785.378357,539.027344,59436161
2006-07-12,772.778687,802.177917,764.378906,772.778687,530.379700,78261085
2006-07-13,768.578796,776.978577,764.378906,768.578796,527.497314,21164273
2006-07-14,764.378906,768.578796,743.379517,764.378906,524.614685,41435665
2006-07-17,764.378906,760.179077,743.379517,751.779297,515.967224,16351641
2006-07-18,751.779297,760.179077,747.579407,751.779297,515.967224,16559980
2006-07-19,751.779297,751.779297,751.779297,751.779297,515.967224,0
2006-07-20,768.578796,772.778687,739.179626,768.578796,527.497314,52778240
